Epoch 224 [constrained] | Target: 0.00 | Ethical cost: 11.8013 | H: 0.738
Epoch 225 [constrained] | Target: 0.10 | Ethical cost: 16.4709 | H: 0.743
Epoch 226 [constrained] | Target: 0.00 | Ethical cost: 19.5803 | H: 0.778
Epoch 227 [constrained] | Target: 0.20 | Ethical cost: 10.6718 | H: 0.723
Epoch 228 [constrained] | Target: 0.20 | Ethical cost: 15.7049 | H: 0.747
Epoch 229 [constrained] | Target: 0.30 | Ethical cost: 16.1611 | H: 0.757
Epoch 230 [constrained] | Target: 0.40 | Ethical cost: 17.5172 | H: 0.760
Epoch 231 [constrained] | Target: 0.10 | Ethical cost: 12.4417 | H: 0.714
Epoch 232 [constrained] | Target: 0.10 | Ethical cost: 23.5128 | H: 0.819
Epoch 233 [constrained] | Target: 0.00 | Ethical cost: 24.0741 | H: 0.823
Epoch 234 [constrained] | Target: 0.10 | Ethical cost: 19.3527 | H: 0.789
Epoch 235 [constrained] | Target: 0.00 | Ethical cost: 24.0592 | H: 0.759
Epoch 236 [constrained] | Target: 0.30 | Ethical cost: 17.4908 | H: 0.786
Epoch 237 [constrained] | Target: 1.00 | Ethical cost: 0.7509 | H: 0.739
Epoch 238 [constrained] | Target: 0.30 | Ethical cost: 10.3699 | H: 0.730
Epoch 239 [constrained] | Target: 0.80 | Ethical cost: 3.9233 | H: 0.743
Epoch 240 [constrained] | Target: 0.00 | Ethical cost: 15.0341 | H: 0.728
Epoch 241 [constrained] | Target: 0.10 | Ethical cost: 17.2856 | H: 0.739
Epoch 242 [constrained] | Target: 0.00 | Ethical cost: 21.2107 | H: 0.724
Epoch 243 [constrained] | Target: 0.00 | Ethical cost: 9.2378 | H: 0.661
Epoch 244 [constrained] | Target: 0.30 | Ethical cost: 16.6857 | H: 0.721
Epoch 245 [constrained] | Target: 0.10 | Ethical cost: 14.7122 | H: 0.732
Epoch 246 [constrained] | Target: 0.00 | Ethical cost: 13.9837 | H: 0.725
Epoch 247 [constrained] | Target: 0.20 | Ethical cost: 19.7495 | H: 0.754
Epoch 248 [constrained] | Target: 0.30 | Ethical cost: 16.9688 | H: 0.765
Epoch 249 [constrained] | Target: 0.40 | Ethical cost: 10.8974 | H: 0.753
Epoch 250 [constrained] | Target: 0.30 | Ethical cost: 17.4958 | H: 0.779
Epoch 251 [constrained] | Target: 0.10 | Ethical cost: 9.1636 | H: 0.690
Epoch 252 [constrained] | Target: 0.20 | Ethical cost: 19.5453 | H: 0.783
Epoch 253 [constrained] | Target: 0.60 | Ethical cost: 7.6881 | H: 0.659
Epoch 254 [constrained] | Target: 0.10 | Ethical cost: 12.2199 | H: 0.735
Epoch 255 [constrained] | Target: 0.00 | Ethical cost: 15.5927 | H: 0.770
Epoch 256 [constrained] | Target: 0.00 | Ethical cost: 11.2777 | H: 0.721
Epoch 257 [constrained] | Target: 0.70 | Ethical cost: 7.2102 | H: 0.764
Epoch 258 [constrained] | Target: 0.00 | Ethical cost: 14.8256 | H: 0.746
Epoch 259 [constrained] | Target: 0.10 | Ethical cost: 14.3967 | H: 0.770
Epoch 260 [constrained] | Target: 0.30 | Ethical cost: 13.8254 | H: 0.765
Epoch 261 [constrained] | Target: 0.40 | Ethical cost: 11.6017 | H: 0.747
Epoch 262 [constrained] | Target: 0.00 | Ethical cost: 20.4339 | H: 0.803
Epoch 263 [constrained] | Target: 0.00 | Ethical cost: 10.1436 | H: 0.721
Epoch 264 [constrained] | Target: 0.10 | Ethical cost: 19.2654 | H: 0.825
Epoch 265 [constrained] | Target: 0.00 | Ethical cost: 19.7039 | H: 0.818
Epoch 266 [constrained] | Target: 0.00 | Ethical cost: 19.7057 | H: 0.837
Epoch 267 [constrained] | Target: 0.00 | Ethical cost: 17.5400 | H: 0.751
Epoch 268 [constrained] | Target: 0.10 | Ethical cost: 21.0759 | H: 0.821
Epoch 269 [constrained] | Target: 0.00 | Ethical cost: 13.4084 | H: 0.731
Epoch 270 [constrained] | Target: 0.30 | Ethical cost: 17.2566 | H: 0.815
Epoch 271 [constrained] | Target: 0.10 | Ethical cost: 15.6559 | H: 0.753
Epoch 272 [constrained] | Target: 0.00 | Ethical cost: 19.0830 | H: 0.778
Epoch 273 [constrained] | Target: 0.60 | Ethical cost: 22.0942 | H: 0.837
Epoch 274 [constrained] | Target: 0.40 | Ethical cost: 34.1199 | H: 0.877
Epoch 275 [constrained] | Target: 0.00 | Ethical cost: 26.6455 | H: 0.806
