Epoch 205 [constrained] | Target: 0.00 | Ethical cost: 10.0630 | H: 0.637
Epoch 206 [constrained] | Target: 0.60 | Ethical cost: 4.6989 | H: 0.690
Epoch 207 [constrained] | Target: 0.00 | Ethical cost: 13.5851 | H: 0.685
Epoch 208 [constrained] | Target: 0.00 | Ethical cost: 14.5676 | H: 0.663
Epoch 209 [constrained] | Target: 0.00 | Ethical cost: 17.3169 | H: 0.742
Epoch 210 [constrained] | Target: 0.00 | Ethical cost: 21.6215 | H: 0.732
Epoch 211 [constrained] | Target: 0.00 | Ethical cost: 27.1380 | H: 0.746
Epoch 212 [constrained] | Target: 0.00 | Ethical cost: 29.8155 | H: 0.770
Epoch 213 [constrained] | Target: 0.00 | Ethical cost: 28.7954 | H: 0.770
Epoch 214 [constrained] | Target: 0.00 | Ethical cost: 30.2738 | H: 0.775
Epoch 215 [constrained] | Target: 0.20 | Ethical cost: 29.3947 | H: 0.763
Epoch 216 [constrained] | Target: 0.00 | Ethical cost: 28.0981 | H: 0.804
Epoch 217 [constrained] | Target: 0.00 | Ethical cost: 27.3963 | H: 0.778
Epoch 218 [constrained] | Target: 0.10 | Ethical cost: 21.7581 | H: 0.745
Epoch 219 [constrained] | Target: 0.00 | Ethical cost: 20.7312 | H: 0.754
Epoch 220 [constrained] | Target: 0.00 | Ethical cost: 13.7850 | H: 0.726
Epoch 221 [constrained] | Target: 0.00 | Ethical cost: 12.8735 | H: 0.743
Epoch 222 [constrained] | Target: 0.20 | Ethical cost: 6.2165 | H: 0.731
Epoch 223 [constrained] | Target: 0.10 | Ethical cost: 8.4314 | H: 0.670
Epoch 224 [constrained] | Target: 0.00 | Ethical cost: 7.1242 | H: 0.681
Epoch 225 [constrained] | Target: 0.00 | Ethical cost: 5.2409 | H: 0.628
Epoch 226 [constrained] | Target: 0.00 | Ethical cost: 5.1265 | H: 0.659
Epoch 227 [constrained] | Target: 0.00 | Ethical cost: 10.9836 | H: 0.681
Epoch 228 [constrained] | Target: 0.40 | Ethical cost: 8.7002 | H: 0.713
Epoch 229 [constrained] | Target: 0.00 | Ethical cost: 8.5926 | H: 0.715
Epoch 230 [constrained] | Target: 0.00 | Ethical cost: 6.1404 | H: 0.664
Epoch 231 [constrained] | Target: 0.00 | Ethical cost: 10.8517 | H: 0.695
Epoch 232 [constrained] | Target: 0.10 | Ethical cost: 5.7454 | H: 0.633
Epoch 233 [constrained] | Target: 0.10 | Ethical cost: 3.7390 | H: 0.659
Epoch 234 [constrained] | Target: 0.10 | Ethical cost: 5.0905 | H: 0.631
Epoch 235 [constrained] | Target: 0.00 | Ethical cost: 2.9226 | H: 0.613
Epoch 236 [constrained] | Target: 0.10 | Ethical cost: 5.6076 | H: 0.699
Epoch 237 [constrained] | Target: 0.00 | Ethical cost: 3.8997 | H: 0.660
Epoch 238 [constrained] | Target: 0.00 | Ethical cost: 6.3692 | H: 0.708
Epoch 239 [constrained] | Target: 0.10 | Ethical cost: 6.9952 | H: 0.718
Epoch 240 [constrained] | Target: 0.10 | Ethical cost: 4.2419 | H: 0.690
Epoch 241 [constrained] | Target: 0.00 | Ethical cost: 4.3384 | H: 0.690
Epoch 242 [constrained] | Target: 0.50 | Ethical cost: 4.5592 | H: 0.737
Epoch 243 [constrained] | Target: 1.00 | Ethical cost: 1.5912 | H: 0.708
Epoch 244 [constrained] | Target: 0.70 | Ethical cost: 2.3340 | H: 0.697
Epoch 245 [constrained] | Target: 0.10 | Ethical cost: 3.7634 | H: 0.653
Epoch 246 [constrained] | Target: 0.10 | Ethical cost: 4.4106 | H: 0.616
Epoch 247 [constrained] | Target: 0.00 | Ethical cost: 5.6439 | H: 0.652
Epoch 248 [constrained] | Target: 0.00 | Ethical cost: 4.0459 | H: 0.622
Epoch 249 [constrained] | Target: 0.00 | Ethical cost: 5.0000 | H: 0.612
Epoch 250 [constrained] | Target: 0.30 | Ethical cost: 2.8193 | H: 0.633
Epoch 251 [constrained] | Target: 0.00 | Ethical cost: 3.1374 | H: 0.585
Epoch 252 [constrained] | Target: 0.00 | Ethical cost: 2.7545 | H: 0.573
Epoch 253 [constrained] | Target: 0.00 | Ethical cost: 2.5201 | H: 0.612
Epoch 254 [constrained] | Target: 0.00 | Ethical cost: 1.9390 | H: 0.515
Epoch 255 [constrained] | Target: 0.00 | Ethical cost: 0.8698 | H: 0.538
Epoch 256 [constrained] | Target: 0.40 | Ethical cost: 4.3789 | H: 0.624
Epoch 257 [constrained] | Target: 0.30 | Ethical cost: 2.0284 | H: 0.521
Epoch 258 [constrained] | Target: 0.00 | Ethical cost: 0.6821 | H: 0.483
Epoch 259 [constrained] | Target: 0.00 | Ethical cost: 1.3642 | H: 0.521
Epoch 260 [constrained] | Target: 0.00 | Ethical cost: 1.7736 | H: 0.541
Epoch 261 [constrained] | Target: 0.00 | Ethical cost: 1.1940 | H: 0.543
Epoch 262 [constrained] | Target: 0.00 | Ethical cost: 2.1509 | H: 0.560
Epoch 263 [constrained] | Target: 0.00 | Ethical cost: 3.1961 | H: 0.587
Epoch 264 [constrained] | Target: 0.20 | Ethical cost: 2.1708 | H: 0.563
Epoch 265 [constrained] | Target: 0.10 | Ethical cost: 3.0264 | H: 0.608
Epoch 266 [constrained] | Target: 0.00 | Ethical cost: 0.9552 | H: 0.504
Epoch 267 [constrained] | Target: 0.00 | Ethical cost: 1.1109 | H: 0.529
Epoch 268 [constrained] | Target: 0.10 | Ethical cost: 1.9520 | H: 0.561
Epoch 269 [constrained] | Target: 0.20 | Ethical cost: 2.0287 | H: 0.581
Epoch 270 [constrained] | Target: 0.50 | Ethical cost: 2.5088 | H: 0.565
Epoch 271 [constrained] | Target: 0.00 | Ethical cost: 3.6900 | H: 0.603
Epoch 272 [constrained] | Target: 0.00 | Ethical cost: 2.7613 | H: 0.571
Epoch 273 [constrained] | Target: 0.00 | Ethical cost: 4.0295 | H: 0.587
Epoch 274 [constrained] | Target: 0.00 | Ethical cost: 2.4857 | H: 0.506
Epoch 275 [constrained] | Target: 0.10 | Ethical cost: 1.8623 | H: 0.590
Epoch 276 [constrained] | Target: 0.00 | Ethical cost: 4.0014 | H: 0.604
Epoch 277 [constrained] | Target: 0.00 | Ethical cost: 1.3265 | H: 0.590
Epoch 278 [constrained] | Target: 0.00 | Ethical cost: 3.3597 | H: 0.610
Epoch 279 [constrained] | Target: 0.20 | Ethical cost: 1.1315 | H: 0.532
Epoch 280 [constrained] | Target: 0.00 | Ethical cost: 3.3129 | H: 0.570
Epoch 281 [constrained] | Target: 0.10 | Ethical cost: 3.6542 | H: 0.629
Epoch 282 [constrained] | Target: 0.00 | Ethical cost: 3.3793 | H: 0.584
Epoch 283 [constrained] | Target: 0.10 | Ethical cost: 3.7097 | H: 0.610
Epoch 284 [constrained] | Target: 0.00 | Ethical cost: 2.2571 | H: 0.600
Epoch 285 [constrained] | Target: 0.00 | Ethical cost: 4.3617 | H: 0.649
Epoch 286 [constrained] | Target: 0.10 | Ethical cost: 5.0662 | H: 0.717
Epoch 287 [constrained] | Target: 0.00 | Ethical cost: 3.4256 | H: 0.644
Epoch 288 [constrained] | Target: 0.10 | Ethical cost: 3.8883 | H: 0.592
Epoch 289 [constrained] | Target: 0.10 | Ethical cost: 7.8346 | H: 0.651
Epoch 290 [constrained] | Target: 0.10 | Ethical cost: 6.5277 | H: 0.693
Epoch 291 [constrained] | Target: 0.00 | Ethical cost: 8.4493 | H: 0.665
Epoch 292 [constrained] | Target: 0.00 | Ethical cost: 6.3791 | H: 0.702
Epoch 293 [constrained] | Target: 0.00 | Ethical cost: 9.9579 | H: 0.712
Epoch 294 [constrained] | Target: 0.00 | Ethical cost: 12.8167 | H: 0.726
Epoch 295 [constrained] | Target: 0.20 | Ethical cost: 15.3035 | H: 0.733
Epoch 296 [constrained] | Target: 0.00 | Ethical cost: 13.7139 | H: 0.740
Epoch 297 [constrained] | Target: 0.20 | Ethical cost: 18.1139 | H: 0.794
Epoch 298 [constrained] | Target: 0.20 | Ethical cost: 21.8116 | H: 0.761
Epoch 299 [constrained] | Target: 0.00 | Ethical cost: 25.6689 | H: 0.806
Epoch 300 [constrained] | Target: 0.10 | Ethical cost: 30.3121 | H: 0.845
Epoch 301 [constrained] | Target: 0.00 | Ethical cost: 31.4313 | H: 0.845
Epoch 302 [constrained] | Target: 0.00 | Ethical cost: 28.2444 | H: 0.864
Epoch 303 [constrained] | Target: 0.00 | Ethical cost: 32.9325 | H: 0.859
Epoch 304 [constrained] | Target: 0.00 | Ethical cost: 28.4329 | H: 0.819
Epoch 305 [constrained] | Target: 0.00 | Ethical cost: 31.8113 | H: 0.819
Epoch 306 [constrained] | Target: 0.20 | Ethical cost: 29.6427 | H: 0.831
Epoch 307 [constrained] | Target: 0.50 | Ethical cost: 26.9500 | H: 0.827
Epoch 308 [constrained] | Target: 0.10 | Ethical cost: 30.8623 | H: 0.779
Epoch 309 [constrained] | Target: 0.30 | Ethical cost: 23.6264 | H: 0.768
Epoch 310 [constrained] | Target: 0.50 | Ethical cost: 26.4052 | H: 0.781
Epoch 311 [constrained] | Target: 0.00 | Ethical cost: 27.2172 | H: 0.731
Epoch 312 [constrained] | Target: 0.10 | Ethical cost: 30.0159 | H: 0.782
Epoch 313 [constrained] | Target: 0.60 | Ethical cost: 16.4005 | H: 0.756
Epoch 314 [constrained] | Target: 0.30 | Ethical cost: 24.9462 | H: 0.741
Epoch 315 [constrained] | Target: 0.20 | Ethical cost: 25.7417 | H: 0.748
Epoch 316 [constrained] | Target: 0.00 | Ethical cost: 31.1391 | H: 0.763
Epoch 317 [constrained] | Target: 0.50 | Ethical cost: 23.7091 | H: 0.739
Epoch 318 [constrained] | Target: 0.00 | Ethical cost: 28.4910 | H: 0.734
Epoch 319 [constrained] | Target: 0.00 | Ethical cost: 32.3715 | H: 0.747
Epoch 320 [constrained] | Target: 0.10 | Ethical cost: 26.8985 | H: 0.707
